sede;periodo;presupuesto;ejecutado;presupuesto_empresarial;presupuesto_individual;ejecutado_empresarial;ejecutado_individual;cumplimiento_porcentaje;dato_confiable;fuente;fecha_corte;observaciones
Hosteria Los Farallones;2026-04;327368328;222995430;8835800;318532528;10025199;200980431;68.12;si;Distribucion del Presupuesto UIT 2026;2026-04-30;
Recinto Quirama;2026-03;687529406;523719766;611901171;68752941;471347789;52371977;76.17;si;Distribucion del Presupuesto UIT 2026;2026-03-31;
